event_id,date_utc,year,month,day,latitude_deg,longitude_deg,altitude_km,radiated_energy_1e10_j,estimated_impact_energy_kt,velocity_x_km_s,velocity_y_km_s,velocity_z_km_s,data_source
FB_20260530180623_00001,2026-05-30 18:06:23,2026,5,30,42.0,-70.5,32.0,42.1,1.1,,,,NASA/JPL CNEOS Fireball Data API
FB_20260521021551_00002,2026-05-21 02:15:51,2026,5,21,46.6,133.1,31.5,3.5,0.12,14.4,-6.5,1.0,NASA/JPL CNEOS Fireball Data API
FB_20260510165737_00003,2026-05-10 16:57:37,2026,5,10,-45.6,-109.8,32.7,6.0,0.19,-13.0,18.7,2.1,NASA/JPL CNEOS Fireball Data API
FB_20260507055203_00004,2026-05-07 05:52:03,2026,5,7,32.5,-36.8,36.0,6.4,0.2,-1.8,24.1,-5.4,NASA/JPL CNEOS Fireball Data API
FB_20260429140039_00005,2026-04-29 14:00:39,2026,4,29,-81.0,133.9,28.7,4.8,0.16,-14.8,-1.8,9.8,NASA/JPL CNEOS Fireball Data API
FB_20260408015847_00006,2026-04-08 01:58:47,2026,4,8,13.4,-170.2,62.0,2.9,0.1,15.9,-2.1,7.7,NASA/JPL CNEOS Fireball Data API
FB_20260401235935_00007,2026-04-01 23:59:35,2026,4,1,57.9,-158.6,37.0,2.2,0.079,36.7,-6.9,0.4,NASA/JPL CNEOS Fireball Data API
FB_20260401021314_00008,2026-04-01 02:13:14,2026,4,1,-41.9,-54.7,90.5,2.4,0.086,3.6,-34.6,59.8,NASA/JPL CNEOS Fireball Data API
FB_20260323192343_00009,2026-03-23 19:23:43,2026,3,23,54.6,-144.1,35.0,5.1,0.17,6.7,0.7,-9.3,NASA/JPL CNEOS Fireball Data API
FB_20260320104559_00010,2026-03-20 10:45:59,2026,3,20,-52.9,-143.7,27.0,2.8,0.098,,,,NASA/JPL CNEOS Fireball Data API
FB_20260317125642_00011,2026-03-17 12:56:42,2026,3,17,41.2,-82.0,45.0,12.6,0.37,2.3,-2.0,-14.6,NASA/JPL CNEOS Fireball Data API
FB_20260210142626_00012,2026-02-10 14:26:26,2026,2,10,-64.0,-14.0,44.0,2.1,0.076,,,,NASA/JPL CNEOS Fireball Data API
FB_20260131180714_00013,2026-01-31 18:07:14,2026,1,31,4.1,-173.4,32.0,5.8,0.19,,,,NASA/JPL CNEOS Fireball Data API
FB_20260130102537_00014,2026-01-30 10:25:37,2026,1,30,-45.0,174.5,89.0,3.4,0.12,-2.1,68.8,17.7,NASA/JPL CNEOS Fireball Data API
FB_20251216205812_00015,2025-12-16 20:58:12,2025,12,16,-24.1,-92.4,25.0,9.6,0.29,7.0,13.9,10.9,NASA/JPL CNEOS Fireball Data API
FB_20251115004843_00016,2025-11-15 00:48:43,2025,11,15,-62.2,-94.7,30.0,10.5,0.32,9.7,2.4,12.5,NASA/JPL CNEOS Fireball Data API
FB_20251111173951_00017,2025-11-11 17:39:51,2025,11,11,27.3,-79.8,42.0,9.3,0.28,-8.0,10.0,-13.6,NASA/JPL CNEOS Fireball Data API
