rank,candidate_type,candidate_id,candidate_name,primary_date_or_window,score,confidence_level,plain_english_summary,supporting_evidence,limitations,next_check,source_report
1,high_energy_fireball_window,HEF_0011,HEF_0011,2013-02-07 to 2013-02-21,100.0,high relative priority,HEF_0011 groups high-energy fireballs into a short time window.,Pattern source: high_energy_fireball_windows.csv. Reason: 3 high-energy fireballs; total energy 441.31 kt. Score: 100.0.,A high-energy window can be dominated by one large bolide and does not automatically prove a debris stream.,"Check whether the dates line up with known meteor showers, Taurid activity, Perseids, Geminids, Leonids, or sporadic fireball seasonality.",high_energy_fireball_windows.csv
2,high_energy_fireball_window,HEF_0097,HEF_0097,2018-12-18 to 2019-01-01,100.0,high relative priority,HEF_0097 groups high-energy fireballs into a short time window.,Pattern source: high_energy_fireball_windows.csv. Reason: 2 high-energy fireballs; total energy 49.28 kt. Score: 100.0.,A high-energy window can be dominated by one large bolide and does not automatically prove a debris stream.,"Check whether the dates line up with known meteor showers, Taurid activity, Perseids, Geminids, Leonids, or sporadic fireball seasonality.",high_energy_fireball_windows.csv
3,high_energy_fireball_window,HEF_0055,HEF_0055,2016-02-06 to 2016-02-20,100.0,high relative priority,HEF_0055 groups high-energy fireballs into a short time window.,Pattern source: high_energy_fireball_windows.csv. Reason: 3 high-energy fireballs; total energy 13.73 kt. Score: 100.0.,A high-energy window can be dominated by one large bolide and does not automatically prove a debris stream.,"Check whether the dates line up with known meteor showers, Taurid activity, Perseids, Geminids, Leonids, or sporadic fireball seasonality.",high_energy_fireball_windows.csv
4,high_energy_fireball_window,HEF_0125,HEF_0125,2020-12-22 to 2021-01-05,100.0,high relative priority,HEF_0125 groups high-energy fireballs into a short time window.,Pattern source: high_energy_fireball_windows.csv. Reason: 3 high-energy fireballs; total energy 12.4 kt. Score: 100.0.,A high-energy window can be dominated by one large bolide and does not automatically prove a debris stream.,"Check whether the dates line up with known meteor showers, Taurid activity, Perseids, Geminids, Leonids, or sporadic fireball seasonality.",high_energy_fireball_windows.csv
5,high_energy_fireball_window,HEF_0013,HEF_0013,2013-04-21 to 2013-05-05,100.0,high relative priority,HEF_0013 groups high-energy fireballs into a short time window.,Pattern source: high_energy_fireball_windows.csv. Reason: 2 high-energy fireballs; total energy 12.3 kt. Score: 100.0.,A high-energy window can be dominated by one large bolide and does not automatically prove a debris stream.,"Check whether the dates line up with known meteor showers, Taurid activity, Perseids, Geminids, Leonids, or sporadic fireball seasonality.",high_energy_fireball_windows.csv
6,high_energy_fireball_window,HEF_0081,HEF_0081,2017-12-15 to 2017-12-29,100.0,high relative priority,HEF_0081 groups high-energy fireballs into a short time window.,Pattern source: high_energy_fireball_windows.csv. Reason: 3 high-energy fireballs; total energy 8.56 kt. Score: 100.0.,A high-energy window can be dominated by one large bolide and does not automatically prove a debris stream.,"Check whether the dates line up with known meteor showers, Taurid activity, Perseids, Geminids, Leonids, or sporadic fireball seasonality.",high_energy_fireball_windows.csv
7,high_energy_fireball_window,HEF_0140,HEF_0140,2022-01-28 to 2022-02-11,100.0,high relative priority,HEF_0140 groups high-energy fireballs into a short time window.,Pattern source: high_energy_fireball_windows.csv. Reason: 4 high-energy fireballs; total energy 8.52 kt. Score: 100.0.,A high-energy window can be dominated by one large bolide and does not automatically prove a debris stream.,"Check whether the dates line up with known meteor showers, Taurid activity, Perseids, Geminids, Leonids, or sporadic fireball seasonality.",high_energy_fireball_windows.csv
8,high_energy_fireball_window,HEF_0093,HEF_0093,2018-09-13 to 2018-09-27,100.0,high relative priority,HEF_0093 groups high-energy fireballs into a short time window.,Pattern source: high_energy_fireball_windows.csv. Reason: 5 high-energy fireballs; total energy 2.81 kt. Score: 100.0.,A high-energy window can be dominated by one large bolide and does not automatically prove a debris stream.,"Check whether the dates line up with known meteor showers, Taurid activity, Perseids, Geminids, Leonids, or sporadic fireball seasonality.",high_energy_fireball_windows.csv
9,high_energy_fireball_window,HEF_0036,HEF_0036,2014-11-26 to 2014-12-10,100.0,high relative priority,HEF_0036 groups high-energy fireballs into a short time window.,Pattern source: high_energy_fireball_windows.csv. Reason: 5 high-energy fireballs; total energy 2.79 kt. Score: 100.0.,A high-energy window can be dominated by one large bolide and does not automatically prove a debris stream.,"Check whether the dates line up with known meteor showers, Taurid activity, Perseids, Geminids, Leonids, or sporadic fireball seasonality.",high_energy_fireball_windows.csv
10,high_energy_fireball_window,HEF_0148,HEF_0148,2022-07-20 to 2022-08-03,100.0,high relative priority,HEF_0148 groups high-energy fireballs into a short time window.,Pattern source: high_energy_fireball_windows.csv. Reason: 5 high-energy fireballs; total energy 2.62 kt. Score: 100.0.,A high-energy window can be dominated by one large bolide and does not automatically prove a debris stream.,"Check whether the dates line up with known meteor showers, Taurid activity, Perseids, Geminids, Leonids, or sporadic fireball seasonality.",high_energy_fireball_windows.csv
11,high_energy_fireball_window,HEF_0122,HEF_0122,2020-10-18 to 2020-11-01,100.0,high relative priority,HEF_0122 groups high-energy fireballs into a short time window.,Pattern source: high_energy_fireball_windows.csv. Reason: 6 high-energy fireballs; total energy 1.89 kt. Score: 100.0.,A high-energy window can be dominated by one large bolide and does not automatically prove a debris stream.,"Check whether the dates line up with known meteor showers, Taurid activity, Perseids, Geminids, Leonids, or sporadic fireball seasonality.",high_energy_fireball_windows.csv
12,high_energy_fireball_window,HEF_0126,HEF_0126,2021-01-24 to 2021-02-07,100.0,high relative priority,HEF_0126 groups high-energy fireballs into a short time window.,Pattern source: high_energy_fireball_windows.csv. Reason: 5 high-energy fireballs; total energy 1.53 kt. Score: 100.0.,A high-energy window can be dominated by one large bolide and does not automatically prove a debris stream.,"Check whether the dates line up with known meteor showers, Taurid activity, Perseids, Geminids, Leonids, or sporadic fireball seasonality.",high_energy_fireball_windows.csv
13,close_approach_window,CAW_0072,CAW_0072,2004-03-07 to 2004-03-21,100.0,high relative priority,CAW_0072 groups multiple close approaches into a short time window.,Pattern source: close_approach_windows.csv. Reason: 9 close approaches; closest distance 0.000328210504 au. Score: 100.0.,Close-approach clustering can occur because the query covers known catalog objects and detection timing is not uniform.,"Check whether grouped objects share orbital elements, parent families, meteor streams, or discovery/observational bias.",close_approach_windows.csv
14,close_approach_window,CAW_0073,CAW_0073,2004-03-22 to 2004-04-05,100.0,high relative priority,CAW_0073 groups multiple close approaches into a short time window.,Pattern source: close_approach_windows.csv. Reason: 8 close approaches; closest distance 8.6318969e-05 au. Score: 100.0.,Close-approach clustering can occur because the query covers known catalog objects and detection timing is not uniform.,"Check whether grouped objects share orbital elements, parent families, meteor streams, or discovery/observational bias.",close_approach_windows.csv
15,close_approach_window,CAW_0031,CAW_0031,2001-11-08 to 2001-11-22,100.0,high relative priority,CAW_0031 groups multiple close approaches into a short time window.,Pattern source: close_approach_windows.csv. Reason: 8 close approaches; closest distance 0.000803236221 au. Score: 100.0.,Close-approach clustering can occur because the query covers known catalog objects and detection timing is not uniform.,"Check whether grouped objects share orbital elements, parent families, meteor streams, or discovery/observational bias.",close_approach_windows.csv
16,close_approach_window,CAW_0089,CAW_0089,2004-12-12 to 2004-12-26,100.0,high relative priority,CAW_0089 groups multiple close approaches into a short time window.,Pattern source: close_approach_windows.csv. Reason: 7 close approaches; closest distance 0.000226525127 au. Score: 100.0.,Close-approach clustering can occur because the query covers known catalog objects and detection timing is not uniform.,"Check whether grouped objects share orbital elements, parent families, meteor streams, or discovery/observational bias.",close_approach_windows.csv
17,close_approach_window,CAW_0074,CAW_0074,2004-04-07 to 2004-04-21,100.0,high relative priority,CAW_0074 groups multiple close approaches into a short time window.,Pattern source: close_approach_windows.csv. Reason: 7 close approaches; closest distance 0.000891153407 au. Score: 100.0.,Close-approach clustering can occur because the query covers known catalog objects and detection timing is not uniform.,"Check whether grouped objects share orbital elements, parent families, meteor streams, or discovery/observational bias.",close_approach_windows.csv
18,close_approach_window,CAW_0083,CAW_0083,2004-09-13 to 2004-09-27,100.0,high relative priority,CAW_0083 groups multiple close approaches into a short time window.,Pattern source: close_approach_windows.csv. Reason: 7 close approaches; closest distance 0.001718378155 au. Score: 100.0.,Close-approach clustering can occur because the query covers known catalog objects and detection timing is not uniform.,"Check whether grouped objects share orbital elements, parent families, meteor streams, or discovery/observational bias.",close_approach_windows.csv
19,close_approach_window,CAW_0055,CAW_0055,2003-04-24 to 2003-05-08,100.0,high relative priority,CAW_0055 groups multiple close approaches into a short time window.,Pattern source: close_approach_windows.csv. Reason: 7 close approaches; closest distance 0.002206299862 au. Score: 100.0.,Close-approach clustering can occur because the query covers known catalog objects and detection timing is not uniform.,"Check whether grouped objects share orbital elements, parent families, meteor streams, or discovery/observational bias.",close_approach_windows.csv
20,close_approach_window,CAW_0067,CAW_0067,2003-11-30 to 2003-12-14,100.0,high relative priority,CAW_0067 groups multiple close approaches into a short time window.,Pattern source: close_approach_windows.csv. Reason: 6 close approaches; closest distance 0.000990617055 au. Score: 100.0.,Close-approach clustering can occur because the query covers known catalog objects and detection timing is not uniform.,"Check whether grouped objects share orbital elements, parent families, meteor streams, or discovery/observational bias.",close_approach_windows.csv
