month,total_fireball_event_count,total_estimated_impact_energy_kt,average_energy_per_event_kt,max_single_event_energy_kt,active_year_count,cluster_score,cluster_note
2,47,478.842,10.188128,441.0,14,89.423,Monthly recurrence clue only; may reflect seasonal detection/reporting effects
5,52,25.07,0.482115,7.1,15,56.417,Monthly recurrence clue only; may reflect seasonal detection/reporting effects
10,50,16.71,0.3342,3.5,14,51.383,Monthly recurrence clue only; may reflect seasonal detection/reporting effects
7,44,22.381,0.508659,5.1,14,39.235,Monthly recurrence clue only; may reflect seasonal detection/reporting effects
9,44,14.779,0.335886,3.9,14,38.505,Monthly recurrence clue only; may reflect seasonal detection/reporting effects
3,43,22.736,0.528744,3.8,13,37.154,Monthly recurrence clue only; may reflect seasonal detection/reporting effects
1,42,19.569,0.465929,6.9,12,34.734,Monthly recurrence clue only; may reflect seasonal detection/reporting effects
4,41,28.073,0.684707,9.8,13,33.436,Monthly recurrence clue only; may reflect seasonal detection/reporting effects
12,38,81.004,2.131684,49.0,14,32.174,Monthly recurrence clue only; may reflect seasonal detection/reporting effects
11,37,10.32,0.278919,1.7,14,23.269,Monthly recurrence clue only; may reflect seasonal detection/reporting effects
6,36,23.715,0.65875,6.0,13,22.44,Monthly recurrence clue only; may reflect seasonal detection/reporting effects
8,26,18.521,0.712346,7.6,12,0.788,Monthly recurrence clue only; may reflect seasonal detection/reporting effects
