window_id,window_start_date,window_end_date,event_count,total_estimated_impact_energy_kt,max_estimated_impact_energy_kt,event_ids,dates_utc,window_note
HEF_0011,2013-02-07,2013-02-21,3,441.31,441.0,FB_20130207131224_00475 | FB_20130215032026_00474 | FB_20130220131307_00473,2013-02-07 13:12:24 | 2013-02-15 03:20:26 | 2013-02-20 13:13:07,High-energy fireballs >= 0.1 kt inside 14-day window
HEF_0097,2018-12-18,2019-01-01,2,49.28,49.0,FB_20181218234818_00273 | FB_20181223233802_00272,2018-12-18 23:48:18 | 2018-12-23 23:38:02,High-energy fireballs >= 0.1 kt inside 14-day window
HEF_0055,2016-02-06,2016-02-20,3,13.73,13.0,FB_20160206135509_00371 | FB_20160213001013_00370 | FB_20160219081502_00369,2016-02-06 13:55:09 | 2016-02-13 00:10:13 | 2016-02-19 08:15:02,High-energy fireballs >= 0.1 kt inside 14-day window
HEF_0125,2020-12-22,2021-01-05,3,12.4,12.0,FB_20201222232328_00191 | FB_20201228172753_00190 | FB_20201229203222_00189,2020-12-22 23:23:28 | 2020-12-28 17:27:53 | 2020-12-29 20:32:22,High-energy fireballs >= 0.1 kt inside 14-day window
HEF_0013,2013-04-21,2013-05-05,2,12.3,9.8,FB_20130421062312_00471 | FB_20130430084037_00470,2013-04-21 06:23:12 | 2013-04-30 08:40:37,High-energy fireballs >= 0.1 kt inside 14-day window
HEF_0081,2017-12-15,2017-12-29,3,8.56,7.9,FB_20171215131437_00314 | FB_20171228174544_00313 | FB_20171229124730_00312,2017-12-15 13:14:37 | 2017-12-28 17:45:44 | 2017-12-29 12:47:30,High-energy fireballs >= 0.1 kt inside 14-day window
HEF_0140,2022-01-28,2022-02-11,4,8.52,7.0,FB_20220128050445_00154 | FB_20220130020618_00153 | FB_20220203195040_00152 | FB_20220207200625_00151,2022-01-28 05:04:45 | 2022-01-30 02:06:18 | 2022-02-03 19:50:40 | 2022-02-07 20:06:25,High-energy fireballs >= 0.1 kt inside 14-day window
HEF_0031,2014-08-23,2014-09-06,3,7.84,7.6,FB_20140823062941_00435 | FB_20140828030745_00434 | FB_20140905213726_00432,2014-08-23 06:29:41 | 2014-08-28 03:07:45 | 2014-09-05 21:37:26,High-energy fireballs >= 0.1 kt inside 14-day window
HEF_0160,2023-05-16,2023-05-30,2,7.21,7.1,FB_20230516232850_00098 | FB_20230520112222_00097,2023-05-16 23:28:50 | 2023-05-20 11:22:22,High-energy fireballs >= 0.1 kt inside 14-day window
HEF_0010,2013-01-12,2013-01-26,2,7.06,6.9,FB_20130112030421_00477 | FB_20130125074018_00476,2013-01-12 03:04:21 | 2013-01-25 07:40:18,High-energy fireballs >= 0.1 kt inside 14-day window
HEF_0177,2024-07-12,2024-07-26,3,6.86,5.1,FB_20240712000935_00064 | FB_20240713031041_00063 | FB_20240720140810_00062,2024-07-12 00:09:35 | 2024-07-13 03:10:41 | 2024-07-20 14:08:10,High-energy fireballs >= 0.1 kt inside 14-day window
HEF_0158,2023-04-06,2023-04-20,2,6.72,6.5,FB_20230406144738_00102 | FB_20230415082158_00101,2023-04-06 14:47:38 | 2023-04-15 08:21:58,High-energy fireballs >= 0.1 kt inside 14-day window
HEF_0104,2019-06-22,2019-07-06,2,6.11,6.0,FB_20190622212547_00252 | FB_20190630165247_00250,2019-06-22 21:25:47 | 2019-06-30 16:52:47,High-energy fireballs >= 0.1 kt inside 14-day window
HEF_0099,2019-02-18,2019-03-04,1,4.3,4.3,FB_20190218100042_00268,2019-02-18 10:00:42,High-energy fireballs >= 0.1 kt inside 14-day window
HEF_0047,2015-09-02,2015-09-16,3,4.24,3.9,FB_20150902201030_00389 | FB_20150907014118_00388 | FB_20150914235050_00386,2015-09-02 20:10:30 | 2015-09-07 01:41:18 | 2015-09-14 23:50:50,High-energy fireballs >= 0.1 kt inside 14-day window
HEF_0163,2023-07-26,2023-08-09,2,4.24,3.8,FB_20230726034153_00093 | FB_20230805195449_00092,2023-07-26 03:41:53 | 2023-08-05 19:54:49,High-energy fireballs >= 0.1 kt inside 14-day window
HEF_0072,2017-03-08,2017-03-22,3,4.22,2.9,FB_20170308222159_00335 | FB_20170309041637_00334 | FB_20170311045121_00333,2017-03-08 22:21:59 | 2017-03-09 04:16:37 | 2017-03-11 04:51:21,High-energy fireballs >= 0.1 kt inside 14-day window
HEF_0142,2022-03-06,2022-03-20,2,3.94,3.8,FB_20220306150614_00147 | FB_20220311212245_00146,2022-03-06 15:06:14 | 2022-03-11 21:22:45,High-energy fireballs >= 0.1 kt inside 14-day window
HEF_0027,2014-05-08,2014-05-22,3,3.72,2.4,FB_20140508194237_00443 | FB_20140516124247_00442 | FB_20140516200626_00441,2014-05-08 19:42:37 | 2014-05-16 12:42:47 | 2014-05-16 20:06:26,High-energy fireballs >= 0.1 kt inside 14-day window
