rank,object_designation,object_fullname,approach_count,first_close_approach_datetime_tdb,last_close_approach_datetime_tdb,minimum_distance_au,maximum_velocity_relative_km_s,absolute_magnitude_h,diameter_km,repeat_score
1,54509, 54509 YORP (2000 PH5),5,2000-Jul-26 05:32,2004-Jul-25 10:16,0.011573118993,7.623867,22.66,,76.868
2,2003 YN107,       (2003 YN107),6,2000-Jun-25 23:36,2004-Dec-27 09:45,0.014844189405,2.351255,26.5,,72.269
3,2022 YG,       (2022 YG),4,2001-Jul-17 14:36,2004-Jul-17 07:15,0.018295035852,5.657722,26.75,,61.852
4,2001 GO2,       (2001 GO2),3,2000-Apr-06 23:09,2002-Apr-08 07:58,0.016103420794,6.43447,24.3,,53.555
5,2004 PU42,       (2004 PU42),2,2002-Aug-11 13:02,2004-Aug-15 07:32,0.005348995537,11.448731,26.7,,52.515
6,367943,367943 Duende (2012 DA14),2,2003-Aug-18 07:57,2004-Aug-19 12:36,0.008131098292,6.685568,24.19,,48.464
7,2021 CZ3,       (2021 CZ3),2,2002-Aug-14 04:18,2004-Feb-12 02:06,0.012080379619,10.661656,31.0,,48.083
8,2001 XX4,       (2001 XX4),2,2001-Dec-07 10:33,2002-Dec-09 08:31,0.019492183224,18.971574,22.1,,47.79
9,2022 JF,       (2022 JF),2,2003-May-03 18:19,2004-Nov-03 01:05,0.018744779746,17.277882,24.77,,47.392
10,2015 RT1,       (2015 RT1),2,2000-Aug-24 17:49,2003-Jan-05 08:39,0.011737892563,8.049311,25.41,,46.982
11,2004 CZ1,       (2004 CZ1),2,2002-Jun-28 09:42,2004-Feb-24 16:02,0.015981576808,11.2578,24.39,,46.04
12,25143, 25143 Itokawa (1998 SF36),2,2001-Mar-29 18:37,2004-Jun-26 20:00,0.012896865253,6.884833,19.26,0.33,45.704
13,2017 XY2,       (2017 XY2),2,2002-Dec-15 16:36,2004-Jun-09 03:10,0.014635013331,8.212137,27.2,,45.325
14,2001 FR85,       (2001 FR85),2,2001-Mar-23 07:48,2001-Sep-15 19:38,0.011161607206,2.947504,24.8,,44.777
15,2020 KQ7,       (2020 KQ7),2,2000-Feb-09 10:11,2001-Jun-28 01:35,0.011545593511,3.360443,26.5,,44.753
16,2025 PN7,       (2025 PN7),3,2002-Aug-02 15:28,2004-Aug-04 17:26,0.029548615305,2.668811,26.41,,43.605
17,2002 PN,       (2002 PN),2,2002-Aug-04 13:32,2004-Jan-28 19:47,0.016225340456,5.0217,24.8,,42.776
18,2025 SY1,       (2025 SY1),2,2001-Apr-30 03:52,2004-Sep-17 18:12,0.020341750518,7.542792,31.65,,41.566
19,2020 DK,       (2020 DK),2,2000-Mar-11 10:50,2004-Mar-08 13:42,0.024188605712,10.278145,26.06,,40.626
20,2015 VU64,       (2015 VU64),2,2000-Nov-02 07:41,2002-Mar-14 14:58,0.022180539486,4.569882,30.6,,38.977
21,2016 TY55,       (2016 TY55),2,2000-Oct-20 04:38,2002-Apr-04 10:29,0.022855951345,5.037609,26.9,,38.805
22,2001 BF10,       (2001 BF10),2,2001-Jan-28 05:21,2003-Apr-21 05:56,0.026506160819,8.959256,22.6,,38.576
23,2017 FB3,       (2017 FB3),2,2000-Sep-10 05:07,2002-Feb-24 10:21,0.022920655426,4.599844,25.9,,38.548
24,2025 BL,       (2025 BL),2,2004-Jan-23 02:51,2005-Jan-19 13:23,0.030775025991,7.238395,25.56,,35.154
25,2004 SC56,       (2004 SC56),2,2002-Oct-09 18:32,2004-Oct-04 21:39,0.035112615165,11.170991,22.7,0.291,34.518
26,2001 SY269,       (2001 SY269),2,2001-Oct-04 15:01,2004-Mar-15 18:01,0.042763056503,17.674087,21.5,,33.179
27,2016 FU12,       (2016 FU12),2,2000-Aug-16 00:42,2001-Aug-16 23:20,0.036167021063,4.675601,26.9,,30.638
28,2002 AA29,       (2002 AA29),2,2002-Jan-08 22:16,2003-Jan-08 19:21,0.039109529061,5.860113,24.1,,29.464
29,2020 BR2,       (2020 BR2),2,2001-Jul-16 03:25,2003-Jan-03 11:10,0.040457671336,5.433871,26.12,,28.442
30,2019 TF2,       (2019 TF2),2,2003-Nov-04 18:24,2004-Jan-14 10:32,0.043082271275,1.551503,26.3,,24.926
