rank,candidate_type,candidate_id,candidate_name,primary_date_or_window,score,reason,source_report
1,high_energy_fireball_window,HEF_0011,HEF_0011,2013-02-07 to 2013-02-21,100.0,3 high-energy fireballs; total energy 441.31 kt,high_energy_fireball_windows.csv
2,high_energy_fireball_window,HEF_0097,HEF_0097,2018-12-18 to 2019-01-01,100.0,2 high-energy fireballs; total energy 49.28 kt,high_energy_fireball_windows.csv
3,high_energy_fireball_window,HEF_0055,HEF_0055,2016-02-06 to 2016-02-20,100.0,3 high-energy fireballs; total energy 13.73 kt,high_energy_fireball_windows.csv
4,high_energy_fireball_window,HEF_0125,HEF_0125,2020-12-22 to 2021-01-05,100.0,3 high-energy fireballs; total energy 12.4 kt,high_energy_fireball_windows.csv
5,high_energy_fireball_window,HEF_0013,HEF_0013,2013-04-21 to 2013-05-05,100.0,2 high-energy fireballs; total energy 12.3 kt,high_energy_fireball_windows.csv
6,high_energy_fireball_window,HEF_0081,HEF_0081,2017-12-15 to 2017-12-29,100.0,3 high-energy fireballs; total energy 8.56 kt,high_energy_fireball_windows.csv
7,high_energy_fireball_window,HEF_0140,HEF_0140,2022-01-28 to 2022-02-11,100.0,4 high-energy fireballs; total energy 8.52 kt,high_energy_fireball_windows.csv
8,high_energy_fireball_window,HEF_0093,HEF_0093,2018-09-13 to 2018-09-27,100.0,5 high-energy fireballs; total energy 2.81 kt,high_energy_fireball_windows.csv
9,high_energy_fireball_window,HEF_0036,HEF_0036,2014-11-26 to 2014-12-10,100.0,5 high-energy fireballs; total energy 2.79 kt,high_energy_fireball_windows.csv
10,high_energy_fireball_window,HEF_0148,HEF_0148,2022-07-20 to 2022-08-03,100.0,5 high-energy fireballs; total energy 2.62 kt,high_energy_fireball_windows.csv
11,high_energy_fireball_window,HEF_0122,HEF_0122,2020-10-18 to 2020-11-01,100.0,6 high-energy fireballs; total energy 1.89 kt,high_energy_fireball_windows.csv
12,high_energy_fireball_window,HEF_0126,HEF_0126,2021-01-24 to 2021-02-07,100.0,5 high-energy fireballs; total energy 1.53 kt,high_energy_fireball_windows.csv
13,close_approach_window,CAW_0072,CAW_0072,2004-03-07 to 2004-03-21,100.0,9 close approaches; closest distance 0.000328210504 au,close_approach_windows.csv
14,close_approach_window,CAW_0073,CAW_0073,2004-03-22 to 2004-04-05,100.0,8 close approaches; closest distance 8.6318969e-05 au,close_approach_windows.csv
15,close_approach_window,CAW_0031,CAW_0031,2001-11-08 to 2001-11-22,100.0,8 close approaches; closest distance 0.000803236221 au,close_approach_windows.csv
16,close_approach_window,CAW_0089,CAW_0089,2004-12-12 to 2004-12-26,100.0,7 close approaches; closest distance 0.000226525127 au,close_approach_windows.csv
17,close_approach_window,CAW_0074,CAW_0074,2004-04-07 to 2004-04-21,100.0,7 close approaches; closest distance 0.000891153407 au,close_approach_windows.csv
18,close_approach_window,CAW_0083,CAW_0083,2004-09-13 to 2004-09-27,100.0,7 close approaches; closest distance 0.001718378155 au,close_approach_windows.csv
