rank,candidate_type,candidate_id,candidate_name,primary_date_or_window,score,orbit_context_status,orbit_class_code,orbit_class_name,is_neo,is_pha,moid_au,estimated_diameter_km,sentry_match_status,sentry_year_range,sentry_impact_probability,review_note
1,high_energy_fireball_window,HEF_0011,HEF_0011,2013-02-07 to 2013-02-21,100.0,not_applicable,,,,,,,not_applicable,,,"Candidate is a time/month pattern, not a single cataloged object."
2,high_energy_fireball_window,HEF_0097,HEF_0097,2018-12-18 to 2019-01-01,100.0,not_applicable,,,,,,,not_applicable,,,"Candidate is a time/month pattern, not a single cataloged object."
3,high_energy_fireball_window,HEF_0055,HEF_0055,2016-02-06 to 2016-02-20,100.0,not_applicable,,,,,,,not_applicable,,,"Candidate is a time/month pattern, not a single cataloged object."
4,high_energy_fireball_window,HEF_0125,HEF_0125,2020-12-22 to 2021-01-05,100.0,not_applicable,,,,,,,not_applicable,,,"Candidate is a time/month pattern, not a single cataloged object."
5,high_energy_fireball_window,HEF_0013,HEF_0013,2013-04-21 to 2013-05-05,100.0,not_applicable,,,,,,,not_applicable,,,"Candidate is a time/month pattern, not a single cataloged object."
6,high_energy_fireball_window,HEF_0081,HEF_0081,2017-12-15 to 2017-12-29,100.0,not_applicable,,,,,,,not_applicable,,,"Candidate is a time/month pattern, not a single cataloged object."
7,high_energy_fireball_window,HEF_0140,HEF_0140,2022-01-28 to 2022-02-11,100.0,not_applicable,,,,,,,not_applicable,,,"Candidate is a time/month pattern, not a single cataloged object."
8,high_energy_fireball_window,HEF_0093,HEF_0093,2018-09-13 to 2018-09-27,100.0,not_applicable,,,,,,,not_applicable,,,"Candidate is a time/month pattern, not a single cataloged object."
9,high_energy_fireball_window,HEF_0036,HEF_0036,2014-11-26 to 2014-12-10,100.0,not_applicable,,,,,,,not_applicable,,,"Candidate is a time/month pattern, not a single cataloged object."
10,high_energy_fireball_window,HEF_0148,HEF_0148,2022-07-20 to 2022-08-03,100.0,not_applicable,,,,,,,not_applicable,,,"Candidate is a time/month pattern, not a single cataloged object."
11,high_energy_fireball_window,HEF_0122,HEF_0122,2020-10-18 to 2020-11-01,100.0,not_applicable,,,,,,,not_applicable,,,"Candidate is a time/month pattern, not a single cataloged object."
12,high_energy_fireball_window,HEF_0126,HEF_0126,2021-01-24 to 2021-02-07,100.0,not_applicable,,,,,,,not_applicable,,,"Candidate is a time/month pattern, not a single cataloged object."
13,close_approach_window,CAW_0072,CAW_0072,2004-03-07 to 2004-03-21,100.0,not_enriched,,,,,,,matched_sentry,2110-2119,2.29213e-08,No direct SBDB context attached in this run.
14,close_approach_window,CAW_0073,CAW_0073,2004-03-22 to 2004-04-05,100.0,not_enriched,,,,,,,not_matched_in_fetched_sentry,,,No direct SBDB context attached in this run.
15,close_approach_window,CAW_0031,CAW_0031,2001-11-08 to 2001-11-22,100.0,not_enriched,,,,,,,not_matched_in_fetched_sentry,,,No direct SBDB context attached in this run.
16,close_approach_window,CAW_0089,CAW_0089,2004-12-12 to 2004-12-26,100.0,not_enriched,,,,,,,matched_sentry,2065-2065,7.137e-08,No direct SBDB context attached in this run.
17,close_approach_window,CAW_0074,CAW_0074,2004-04-07 to 2004-04-21,100.0,not_enriched,,,,,,,matched_sentry,2080-2080,7.424e-08,No direct SBDB context attached in this run.
18,close_approach_window,CAW_0083,CAW_0083,2004-09-13 to 2004-09-27,100.0,not_enriched,,,,,,,matched_sentry,2034-2053,1.21185e-06,No direct SBDB context attached in this run.
19,close_approach_window,CAW_0055,CAW_0055,2003-04-24 to 2003-05-08,100.0,not_enriched,,,,,,,matched_sentry,2065-2119,6.22281914e-05,No direct SBDB context attached in this run.
20,close_approach_window,CAW_0067,CAW_0067,2003-11-30 to 2003-12-14,100.0,not_enriched,,,,,,,matched_sentry,2042-2121,3.10332749e-05,No direct SBDB context attached in this run.
21,close_approach_window,CAW_0052,CAW_0052,2003-03-01 to 2003-03-15,100.0,not_enriched,,,,,,,matched_sentry,2046-2058,1.039e-07,No direct SBDB context attached in this run.
22,close_approach_window,CAW_0014,CAW_0014,2000-10-15 to 2000-10-29,100.0,not_enriched,,,,,,,not_matched_in_fetched_sentry,,,No direct SBDB context attached in this run.
23,close_approach_window,CAW_0086,CAW_0086,2004-10-28 to 2004-11-11,100.0,not_enriched,,,,,,,not_matched_in_fetched_sentry,,,No direct SBDB context attached in this run.
24,close_approach_window,CAW_0088,CAW_0088,2004-11-27 to 2004-12-11,100.0,not_enriched,,,,,,,matched_sentry,2048-2121,0.0002375926596,No direct SBDB context attached in this run.
25,close_approach_window,CAW_0029,CAW_0029,2001-09-26 to 2001-10-10,100.0,not_enriched,,,,,,,not_matched_in_fetched_sentry,,,No direct SBDB context attached in this run.
26,close_approach_window,CAW_0076,CAW_0076,2004-05-09 to 2004-05-23,100.0,not_enriched,,,,,,,not_matched_in_fetched_sentry,,,No direct SBDB context attached in this run.
27,close_approach_window,CAW_0062,CAW_0062,2003-09-10 to 2003-09-24,100.0,not_enriched,,,,,,,not_matched_in_fetched_sentry,,,No direct SBDB context attached in this run.
28,close_approach_window,CAW_0071,CAW_0071,2004-02-17 to 2004-03-02,100.0,not_enriched,,,,,,,matched_sentry,2111-2116,7.915858e-06,No direct SBDB context attached in this run.
29,close_approach_window,CAW_0081,CAW_0081,2004-08-06 to 2004-08-20,100.0,not_enriched,,,,,,,matched_sentry,2063-2123,0.000131681849,No direct SBDB context attached in this run.
30,close_approach_window,CAW_0038,CAW_0038,2002-03-11 to 2002-03-25,100.0,not_enriched,,,,,,,matched_sentry,2078-2121,1.4637114e-05,No direct SBDB context attached in this run.
31,close_approach_window,CAW_0068,CAW_0068,2003-12-21 to 2004-01-04,100.0,not_enriched,,,,,,,matched_sentry,2085-2121,8.0138e-07,No direct SBDB context attached in this run.
32,close_approach_window,CAW_0047,CAW_0047,2002-10-01 to 2002-10-15,100.0,not_enriched,,,,,,,matched_sentry,2084-2118,1.557916e-05,No direct SBDB context attached in this run.
33,close_approach_window,CAW_0082,CAW_0082,2004-08-21 to 2004-09-04,100.0,not_enriched,,,,,,,matched_sentry,2100-2117,3.6389e-07,No direct SBDB context attached in this run.
34,close_approach_window,CAW_0053,CAW_0053,2003-03-22 to 2003-04-05,100.0,not_enriched,,,,,,,not_matched_in_fetched_sentry,,,No direct SBDB context attached in this run.
35,high_energy_fireball_window,HEF_0031,HEF_0031,2014-08-23 to 2014-09-06,99.2,not_applicable,,,,,,,not_applicable,,,"Candidate is a time/month pattern, not a single cataloged object."
36,close_approach_window,CAW_0063,CAW_0063,2003-09-27 to 2003-10-11,98.874,not_enriched,,,,,,,matched_sentry,2101-2101,1.112e-08,No direct SBDB context attached in this run.
37,close_approach_window,CAW_0066,CAW_0066,2003-11-16 to 2003-11-30,98.598,not_enriched,,,,,,,not_matched_in_fetched_sentry,,,No direct SBDB context attached in this run.
38,close_approach_window,CAW_0080,CAW_0080,2004-07-11 to 2004-07-25,97.785,not_enriched,,,,,,,matched_sentry,2093-2093,1.836e-09,No direct SBDB context attached in this run.
39,close_approach_window,CAW_0079,CAW_0079,2004-06-26 to 2004-07-10,96.326,not_enriched,,,,,,,not_matched_in_fetched_sentry,,,No direct SBDB context attached in this run.
40,close_approach_window,CAW_0064,CAW_0064,2003-10-12 to 2003-10-26,96.293,not_enriched,,,,,,,matched_sentry,2030-2057,3.90677e-08,No direct SBDB context attached in this run.
41,high_energy_fireball_window,HEF_0044,HEF_0044,2015-06-02 to 2015-06-16,94.55,not_applicable,,,,,,,not_applicable,,,"Candidate is a time/month pattern, not a single cataloged object."
42,close_approach_window,CAW_0039,CAW_0039,2002-03-31 to 2002-04-14,94.406,not_enriched,,,,,,,not_matched_in_fetched_sentry,,,No direct SBDB context attached in this run.
43,high_energy_fireball_window,HEF_0177,HEF_0177,2024-07-12 to 2024-07-26,94.3,not_applicable,,,,,,,not_applicable,,,"Candidate is a time/month pattern, not a single cataloged object."
44,high_energy_fireball_window,HEF_0007,HEF_0007,2012-09-28 to 2012-10-12,94.0,not_applicable,,,,,,,not_applicable,,,"Candidate is a time/month pattern, not a single cataloged object."
45,close_approach_window,CAW_0048,CAW_0048,2002-10-27 to 2002-11-10,93.151,not_enriched,,,,,,,matched_sentry,2082-2121,0.000112962664,No direct SBDB context attached in this run.
46,high_energy_fireball_window,HEF_0188,HEF_0188,2025-03-13 to 2025-03-27,92.1,not_applicable,,,,,,,not_applicable,,,"Candidate is a time/month pattern, not a single cataloged object."
47,high_energy_fireball_window,HEF_0103,HEF_0103,2019-05-19 to 2019-06-02,92.0,not_applicable,,,,,,,not_applicable,,,"Candidate is a time/month pattern, not a single cataloged object."
48,close_approach_window,CAW_0084,CAW_0084,2004-09-28 to 2004-10-12,90.774,not_enriched,,,,,,,matched_sentry,2082-2120,1.8043724e-06,No direct SBDB context attached in this run.
49,close_approach_window,CAW_0077,CAW_0077,2004-05-25 to 2004-06-08,90.687,not_enriched,,,,,,,matched_sentry,2104-2122,1.475194e-05,No direct SBDB context attached in this run.
50,close_approach_window,CAW_0017,CAW_0017,2000-12-17 to 2000-12-31,90.103,not_enriched,,,,,,,matched_sentry,2108-2119,2.98247e-06,No direct SBDB context attached in this run.
51,fireball_month_cluster,month_2,Month 2,month=2,89.423,not_applicable,,,,,,,not_applicable,,,"Candidate is a time/month pattern, not a single cataloged object."
52,high_energy_fireball_window,HEF_0015,HEF_0015,2013-07-27 to 2013-08-10,88.55,not_applicable,,,,,,,not_applicable,,,"Candidate is a time/month pattern, not a single cataloged object."
53,close_approach_window,CAW_0009,CAW_0009,2000-06-29 to 2000-07-13,88.266,not_enriched,,,,,,,matched_sentry,2081-2120,1.9442009e-05,No direct SBDB context attached in this run.
54,close_approach_window,CAW_0020,CAW_0020,2001-02-19 to 2001-03-05,88.081,not_enriched,,,,,,,matched_sentry,2079-2079,1.616e-09,No direct SBDB context attached in this run.
55,close_approach_window,CAW_0030,CAW_0030,2001-10-21 to 2001-11-04,87.45,not_enriched,,,,,,,matched_sentry,2058-2058,1.618e-09,No direct SBDB context attached in this run.
56,close_approach_window,CAW_0058,CAW_0058,2003-06-13 to 2003-06-27,86.215,not_enriched,,,,,,,not_matched_in_fetched_sentry,,,No direct SBDB context attached in this run.
57,high_energy_fireball_window,HEF_0166,HEF_0166,2023-10-14 to 2023-10-28,86.2,not_applicable,,,,,,,not_applicable,,,"Candidate is a time/month pattern, not a single cataloged object."
58,high_energy_fireball_window,HEF_0112,HEF_0112,2020-01-06 to 2020-01-20,86.15,not_applicable,,,,,,,not_applicable,,,"Candidate is a time/month pattern, not a single cataloged object."
59,high_energy_fireball_window,HEF_0023,HEF_0023,2014-01-08 to 2014-01-22,85.95,not_applicable,,,,,,,not_applicable,,,"Candidate is a time/month pattern, not a single cataloged object."
60,high_energy_fireball_window,HEF_0107,HEF_0107,2019-09-12 to 2019-09-26,85.4,not_applicable,,,,,,,not_applicable,,,"Candidate is a time/month pattern, not a single cataloged object."
