rank,object_designation,object_fullname,close_approach_datetime_tdb,year,distance_au,distance_min_au,distance_max_au,velocity_relative_km_s,absolute_magnitude_h,diameter_km
1,2004 FU162,       (2004 FU162),2004-Mar-31 15:35,2004,8.63189689546789e-05,2.32222050518807e-05,0.000196402067904961,13.3906449624196,29.48,
2,2004 YD5,       (2004 YD5),2004-Dec-19 20:38,2004,0.000226525127435088,0.00022600375691978,0.000227046449362596,25.3540893932745,29.3,
3,2004 FH,       (2004 FH),2004-Mar-18 22:09,2004,0.000328210504429864,0.000328207625413317,0.000328213383448856,8.00293365023199,26.41,
4,2003 SQ222,       (2003 SQ222),2003-Sep-27 22:56,2003,0.000563056369189049,0.000561596174218194,0.000564516295097979,15.4264792746878,30.1,
5,2002 XV90,       (2002 XV90),2002-Dec-11 08:24,2002,0.000786724918930163,0.000779913783357115,0.000793538324050151,8.00840374457133,25.28,
6,2002 MN,       (2002 MN),2002-Jun-14 02:03,2002,0.000802053264299034,0.000801792849546573,0.000802313682613599,10.5744802875799,23.70,
7,2017 VW13,       (2017 VW13),2001-Nov-08 10:53,2001,0.000803236221299779,0.00078931142722583,0.00804921028603937,11.3717646222861,20.63,
8,2023 DZ2,       (2023 DZ2),2004-Apr-18 23:27,2004,0.000891153407187291,0.000877242444321018,0.000905129344754756,7.97742162486332,24.27,
9,2003 XJ7,       (2003 XJ7),2003-Dec-06 19:04,2003,0.000990617054842303,0.000989495720613654,0.000991738342991924,16.9288118517048,26.4,
10,2003 SW130,       (2003 SW130),2003-Sep-19 05:39,2003,0.00108209762910128,0.00108018330659836,0.00108401159354605,9.09125962339681,29.1,
11,2004 OD4,       (2004 OD4),2004-Jul-16 05:10,2004,0.00110744757227765,0.00110226849709081,0.00111262415055405,8.88750066941271,27.0,
12,2004 FY15,       (2004 FY15),2004-Mar-27 20:22,2004,0.00159555543418531,0.00159360312702867,0.00159750755433454,8.57473253134281,26.1,
13,2016 TT,       (2016 TT),2004-Sep-26 04:38,2004,0.00171837815517677,0.00164790725573789,0.0673387903328106,11.7622170042696,26.0,
14,2005 BS1,       (2005 BS1),2005-Jan-13 10:13,2005,0.00175532769103293,0.00174694435370343,0.00176370935699093,12.5062310626873,27.5,
15,2025 FA2,       (2025 FA2),2000-Mar-19 14:05,2000,0.00179569564130305,0.0015423968370066,0.0963951964131942,10.2657251380667,26.95,
16,2025 ME90,       (2025 ME90),2004-Jun-30 10:24,2004,0.00183709664858941,0.00183642015217507,0.00183777448474985,29.4627130958772,21.01,
17,2004 HE,       (2004 HE),2004-Apr-18 00:21,2004,0.00184974909825208,0.00184800537144953,0.001851492798257,18.2508279793705,26.8,
18,2003 UM3,       (2003 UM3),2003-Oct-12 01:57,2003,0.00185364539944093,0.00150753136645287,0.00220134042529704,12.8947704834191,28.1,
19,2004 UH1,       (2004 UH1),2004-Oct-24 17:32,2004,0.00198182956178897,0.00197900614976541,0.00198465284031238,11.7466550624737,28.1,
20,2001 BA16,       (2001 BA16),2001-Jan-15 20:30,2001,0.00204665986836553,0.00204137441846288,0.00205194686689051,5.1038575417179,26.0,
21,2004 XB45,       (2004 XB45),2004-Dec-16 19:10,2004,0.00217441881582773,0.00217028020289304,0.00217855729819744,17.1255711421577,26.2,
22,2003 HW10,       (2003 HW10),2003-Apr-29 06:24,2003,0.00220629986171607,0.00220414558030993,0.00220845408930842,13.3106958635747,27.0,
23,2004 ST26,       (2004 ST26),2004-Sep-21 23:32,2004,0.00245709319688152,0.00245128362206315,0.00246290264328448,21.3803584056318,26.3,
24,2004 RU109,       (2004 RU109),2004-Sep-13 15:43,2004,0.0024657048538189,0.00245988652781394,0.00247152284351785,12.934160766566,26.4,
25,2002 GQ,       (2002 GQ),2002-Mar-31 03:31,2002,0.00279680976297641,0.00278182403668027,0.0028117921822725,9.29962229411583,26.3,
26,2017 EA,       (2017 EA),2004-Mar-01 03:08,2004,0.00282498032130639,0.00169254936907536,0.0638337420026041,17.5955004492118,30.8,
27,2003 XV,       (2003 XV),2003-Dec-06 22:45,2003,0.00305726546766975,0.00305721596110972,0.00305731497427705,12.0027418432331,26.7,
28,2002 EM7,       (2002 EM7),2002-Mar-08 00:59,2002,0.00311008465444615,0.00310371827156376,0.00311645057748887,10.2857862614941,24.4,
29,2002 CB26,       (2002 CB26),2002-Feb-08 19:11,2002,0.00318636053259569,0.00312391531090968,0.00324879781389655,22.3641040997354,26.9,
30,2024 RH7,       (2024 RH7),2001-Sep-09 01:13,2001,0.0032390806808343,0.000531591186897728,0.13941796749769,13.7634984517655,29.84,
31,2004 DA53,       (2004 DA53),2004-Feb-24 07:11,2004,0.00327225037026833,0.00323658011845996,0.00330790623154753,9.38601776740407,28.0,
32,2003 LW2,       (2003 LW2),2003-Jun-01 05:16,2003,0.00330981083187281,0.0033097304861501,0.00330989117882898,8.12372454235807,25.8,
33,2000 LG6,       (2000 LG6),2000-Jun-02 21:38,2000,0.00331692661867423,0.00331028466046446,0.00332356576052294,2.44756830736134,29.0,
34,2002 NY40,       (2002 NY40),2002-Aug-18 07:48,2002,0.00352258917648114,0.00352256914576505,0.00352260920719743,20.8962978875956,19.0,
35,2003 DW10,       (2003 DW10),2003-Mar-03 06:13,2003,0.00362267531111631,0.00362201764640547,0.00362333296962591,7.79863341485572,26.1,
36,2003 DY15,       (2003 DY15),2003-Mar-05 20:26,2003,0.00366470394444541,0.00366125775903228,0.00366815003712025,9.99644585297754,26.3,
37,2004 MR1,       (2004 MR1),2004-Jun-21 20:35,2004,0.00378267678382408,0.0037705679910871,0.00379478425104423,7.58610215594514,25.6,
38,2004 PZ19,       (2004 PZ19),2004-Aug-11 20:07,2004,0.00410887836770788,0.00409650711705668,0.00412124889239859,11.3748266638107,24.5,
39,2021 FP2,       (2021 FP2),2002-Mar-24 11:20,2002,0.00415496512553317,0.000823287884129889,0.113569331158736,8.72483287087076,30.12,
40,2026 JA,       (2026 JA),2002-May-03 08:38,2002,0.00420076799536028,0.00342189293105701,0.00500211177451479,11.8326860881723,26.68,
41,2003 YS70,       (2003 YS70),2003-Dec-27 00:28,2003,0.00422747069863127,0.0042262912590682,0.00422865006525153,3.45427226131573,29.1,
42,2003 WT153,       (2003 WT153),2003-Nov-30 19:05,2003,0.00453564026031883,0.00453086071716924,0.00454041915874965,4.40397921472536,28.0,
43,2004 BK86,       (2004 BK86),2004-Feb-01 23:04,2004,0.00458544323952223,0.00427482670253068,0.00489577137679282,15.698562047095,25.4,
44,2004 FM32,       (2004 FM32),2004-Mar-25 19:00,2004,0.00460910969292342,0.00458598396102175,0.00463222273695982,4.33240181655631,27.1,
45,2016 TQ54,       (2016 TQ54),2004-Oct-02 03:47,2004,0.00461278812885406,0.000338126795371845,0.0175176288888083,8.85764648070501,27.2,
46,2004 KF17,       (2004 KF17),2004-May-31 21:10,2004,0.00465637253791326,0.00463157178899237,0.00468117098515415,11.399513735521,26.1,
47,2015 UH52,       (2015 UH52),2000-Oct-19 21:11,2000,0.00472344399169328,0.00464777415002651,0.00479911436173901,11.4133293346521,26.02,
48,2001 WM15,       (2001 WM15),2001-Nov-29 07:55,2001,0.00485830498737882,0.00483077861903433,0.00488582990584915,15.2237345256486,25.0,
49,2000 YA,       (2000 YA),2000-Dec-22 06:54,2000,0.0049485161160092,0.00494849021912904,0.00494854201291017,14.1889296723642,23.88,
50,2002 TY59,       (2002 TY59),2002-Oct-02 01:53,2002,0.00510546967938508,0.00509714422953692,0.00511379474479039,8.41512765549884,25.5,
