rank,object_designation,object_fullname,close_approach_datetime_tdb,year,distance_au,velocity_relative_km_s,velocity_infinity_km_s,absolute_magnitude_h,diameter_km
1,620063,620063 (2009 DH39),2004-Feb-26 04:19,2004,0.0418918775486614,32.18798304072,32.1860069717489,18.59,
2,2021 GF11,       (2021 GF11),2004-Apr-02 18:08,2004,0.0442235639058524,31.4855632210793,31.4836495805974,23.38,
3,2001 YB5,       (2001 YB5),2002-Jan-07 07:38,2002,0.0055625453089654,30.5883993302741,30.5727356700177,20.74,
4,2002 TZ59,       (2002 TZ59),2002-Sep-27 21:29,2002,0.0164412464098585,29.5683596045182,29.562878215267,23.39,
5,2002 AS4,       (2002 AS4),2002-Jan-01 20:33,2002,0.0380455066644653,29.567817333438,29.5654486495047,22.26,
6,2025 ME90,       (2025 ME90),2004-Jun-30 10:24,2004,0.00183709664858941,29.4627130958772,29.4134444201653,21.01,
7,2021 SZ4,       (2021 SZ4),2000-Oct-26 12:46,2000,0.0420524569270719,29.1985490719415,29.1963789914136,20.47,
8,2003 WW26,       (2003 WW26),2003-Nov-16 03:08,2003,0.0391368901922533,27.0035973841594,27.0010760831701,22.5,
9,37655, 37655 Illapa (1994 PM),2003-Aug-16 14:13,2003,0.0250375538363425,26.3958681129666,26.3918361393512,17.85,
10,2002 CY9,       (2002 CY9),2002-Jan-26 15:43,2002,0.0278169661081652,26.2437666756721,26.2401165599745,19.2,
11,385252,385252 (2001 EB18),2002-Aug-30 01:36,2002,0.033765716621759,26.205445628791,26.2024342194694,19.41,
12,2021 HC3,       (2021 HC3),2002-May-04 02:20,2002,0.0496576636579812,25.9500724973731,25.9480047151275,21.57,
13,2021 UN3,       (2021 UN3),2001-Mar-18 16:23,2001,0.0297113298634806,25.8603572331385,25.8568891869911,21.43,
14,2002 MX,       (2002 MX),2002-Jun-12 02:02,2002,0.0414805647068123,25.5731138360195,25.5706019182705,21.7,
15,2003 RB5,       (2003 RB5),2003-Sep-04 14:03,2003,0.0280147621249707,25.5261529667147,25.5224267187658,21.2,
16,886662,886662 (2021 JY),2002-Nov-04 04:56,2002,0.0461297526024217,25.4783714869334,25.4761043440661,18.80,
17,2004 YD5,       (2004 YD5),2004-Dec-19 20:38,2004,0.000226525127435088,25.3540893932745,24.8858402988563,29.3,
18,434096,434096 (2002 GO5),2002-Apr-04 18:43,2002,0.0384593492889383,24.9725720894501,24.9697976754024,18.15,0.528
19,2004 JP12,       (2004 JP12),2004-May-07 16:06,2004,0.0336741771565122,24.8726348075858,24.8694533850949,23.60,
20,2003 FB5,       (2003 FB5),2003-Apr-03 01:47,2003,0.0239180534668211,24.7811291284357,24.7766333507207,23.42,
21,496901,496901 (2001 HB),2001-Apr-02 05:07,2001,0.0327571456931581,23.6592565710805,23.6558183264908,20.69,
22,2020 QL7,       (2020 QL7),2000-Mar-24 00:53,2000,0.015429181042908,23.4583586959299,23.4509959465242,22.18,
23,2001 EC,       (2001 EC),2001-Feb-26 17:15,2001,0.00983441031288086,22.4934460217711,22.4813977608294,18.70,
24,2002 CB26,       (2002 CB26),2002-Feb-08 19:11,2002,0.00318636053259569,22.3641040997354,22.3266818885239,26.9,
25,2004 FD,       (2004 FD),2004-Mar-03 01:21,2004,0.0250169385232579,22.2930938600967,22.2883157693387,23.02,
26,2004 GE2,       (2004 GE2),2004-Apr-24 13:32,2004,0.0332179899747988,22.2489269801296,22.2453214832241,21.5,
