year,month,fireball_event_count,total_estimated_impact_energy_kt,average_estimated_impact_energy_kt,max_estimated_impact_energy_kt
2012,5,4,1.83,0.4575,0.64
2012,6,1,0.087,0.087,0.087
2012,7,2,0.5,0.25,0.39
2012,8,3,1.03,0.343333,0.69
2012,9,4,1.274,0.3185,0.69
2012,10,5,2.8,0.56,1.3
2012,11,2,0.459,0.2295,0.37
2012,12,2,0.7,0.35,0.59
2013,1,2,7.06,3.53,6.9
2013,2,3,441.31,147.103333,441.0
2013,3,1,0.1,0.1,0.1
2013,4,2,12.3,6.15,9.8
2013,5,1,0.078,0.078,0.078
2013,6,2,0.199,0.0995,0.12
2013,7,6,1.865,0.310833,1.0
2013,8,1,0.12,0.12,0.12
2013,9,2,0.61,0.305,0.46
2013,10,2,3.69,1.845,3.5
2013,11,1,0.23,0.23,0.23
2013,12,2,1.15,0.575,0.79
2014,1,4,1.19,0.2975,0.41
2014,2,2,1.591,0.7955,1.5
2014,3,3,1.72,0.573333,1.3
2014,5,4,3.91,0.9775,2.4
2014,6,2,0.87,0.435,0.67
2014,7,2,0.43,0.215,0.25
2014,8,3,7.812,2.604,7.6
2014,9,2,0.22,0.11,0.12
2014,10,4,0.62,0.155,0.25
2014,11,5,2.97,0.594,1.7
2014,12,3,0.5,0.166667,0.24
2015,1,4,0.972,0.243,0.41
2015,2,3,0.86,0.286667,0.53
2015,3,5,1.068,0.2136,0.37
2015,4,5,1.41,0.282,0.57
2015,5,4,0.85,0.2125,0.41
2015,6,4,2.91,0.7275,1.0
2015,7,3,0.397,0.132333,0.23
2015,8,1,0.1,0.1,0.1
2015,9,5,4.614,0.9228,3.9
2015,10,6,1.422,0.237,0.66
2015,11,2,0.5,0.25,0.26
2015,12,3,0.99,0.33,0.57
2016,1,2,0.62,0.31,0.35
2016,2,5,14.82,2.964,13.0
2016,3,2,0.3,0.15,0.19
2016,4,4,2.503,0.62575,1.4
2016,5,4,1.78,0.445,1.2
2016,6,3,2.67,0.89,1.1
2016,7,2,0.59,0.295,0.48
2016,8,3,1.31,0.436667,0.55
2016,9,2,0.47,0.235,0.24
2016,10,1,0.11,0.11,0.11
2016,11,3,0.75,0.25,0.4
2016,12,2,0.5,0.25,0.35
2017,2,5,1.553,0.3106,0.85
2017,3,3,4.22,1.406667,2.9
2017,4,1,0.4,0.4,0.4
2017,5,3,0.55,0.183333,0.3
2017,6,3,1.9,0.633333,1.2
2017,7,3,0.56,0.186667,0.23
2017,9,1,0.14,0.14,0.14
2017,10,6,2.439,0.4065,1.7
2017,11,1,0.098,0.098,0.098
2017,12,4,8.77,2.1925,7.9
2018,1,4,0.846,0.2115,0.55
2018,2,5,1.893,0.3786,0.91
2018,4,5,1.78,0.356,1.2
2018,5,3,0.86,0.286667,0.49
2018,6,3,3.81,1.27,2.8
2018,7,3,2.26,0.753333,1.4
2018,8,2,0.198,0.099,0.11
2018,9,5,2.81,0.562,1.9
2018,10,3,0.432,0.144,0.2
2018,11,4,1.858,0.4645,1.1
2018,12,2,49.28,24.64,49.0
2019,1,2,0.254,0.127,0.16
2019,2,2,6.0,3.0,4.3
2019,3,3,0.4,0.133333,0.22
2019,4,4,0.808,0.202,0.37
2019,5,7,2.633,0.376143,1.6
2019,6,4,6.284,1.571,6.0
2019,7,1,0.69,0.69,0.69
2019,8,3,0.303,0.101,0.13
2019,9,6,1.368,0.228,0.42
2019,10,2,0.69,0.345,0.57
2019,11,4,0.808,0.202,0.44
2019,12,4,0.639,0.15975,0.26
2020,1,7,1.64,0.234286,0.56
2020,2,3,0.431,0.143667,0.31
2020,3,4,1.813,0.45325,0.98
2020,4,3,0.231,0.077,0.082
2020,5,5,1.08,0.216,0.4
2020,7,3,0.521,0.173667,0.27
2020,8,2,0.41,0.205,0.21
2020,9,1,0.18,0.18,0.18
2020,10,7,1.97,0.281429,1.1
2020,11,3,0.643,0.214333,0.31
2020,12,3,12.4,4.133333,12.0
2021,1,4,1.41,0.3525,0.75
2021,2,3,0.319,0.106333,0.12
2021,3,2,0.58,0.29,0.45
2021,4,2,0.602,0.301,0.52
2021,5,3,0.42,0.14,0.18
2021,6,1,0.073,0.073,0.073
