year,fireball_event_count,total_estimated_impact_energy_kt,average_estimated_impact_energy_kt,max_estimated_impact_energy_kt
2012,23,8.68,0.377391,1.3
2013,25,468.712,18.74848,441.0
2014,34,21.833,0.642147,7.6
2015,45,16.093,0.357622,3.9
2016,33,26.423,0.800697,13.0
2017,30,20.63,0.687667,7.9
2018,39,66.027,1.693,49.0
2019,42,20.877,0.497071,6.0
2020,41,21.319,0.519976,12.0
2021,32,7.581,0.236906,1.8
2022,42,26.296,0.626095,7.0
2023,36,26.382,0.732833,7.1
2024,32,15.675,0.489844,5.1
2025,32,12.133,0.379156,2.4
2026,14,3.059,0.2185,1.1
