rank,event_id,date_utc,year,month,day,latitude_deg,longitude_deg,altitude_km,radiated_energy_1e10_j,estimated_impact_energy_kt
1,FB_20130215032026_00474,2013-02-15 03:20:26,2013,2,15,54.8,61.1,23.3,37500,441
2,FB_20181218234818_00273,2018-12-18 23:48:18,2018,12,18,56.9,172.4,26.0,3130,49
3,FB_20160206135509_00371,2016-02-06 13:55:09,2016,2,6,-30.4,-25.5,31.0,685,13
4,FB_20201222232328_00191,2020-12-22 23:23:28,2020,12,22,31.9,96.2,35.5,667,12
5,FB_20130430084037_00470,2013-04-30 08:40:37,2013,4,30,35.5,-30.7,21.2,511,9.8
6,FB_20171215131437_00314,2017-12-15 13:14:37,2017,12,15,60.2,170.0,20.0,400,7.9
7,FB_20140823062941_00435,2014-08-23 06:29:41,2014,8,23,-61.7,132.6,22.2,382,7.6
8,FB_20230520112222_00097,2023-05-20 11:22:22,2023,5,20,-17.8,141.9,29.0,351,7.1
9,FB_20220207200625_00151,2022-02-07 20:06:25,2022,2,7,-28.7,11.4,26.5,348,7
10,FB_20130125074018_00476,2013-01-25 07:40:18,2013,1,25,60.3,-64.6,,340,6.9
11,FB_20230415082158_00101,2023-04-15 08:21:58,2023,4,15,-20.1,36.0,41.4,321,6.5
12,FB_20190622212547_00252,2019-06-22 21:25:47,2019,6,22,14.9,-66.2,25.0,294,6
13,FB_20240720140810_00062,2024-07-20 14:08:10,2024,7,20,-73.7,22.5,38.8,243.3,5.1
14,FB_20190218100042_00268,2019-02-18 10:00:42,2019,2,18,-15.5,25.3,26,199,4.3
15,FB_20150907014118_00388,2015-09-07 01:41:18,2015,9,7,14.5,98.9,29.3,180,3.9
16,FB_20230805195449_00092,2023-08-05 19:54:49,2023,8,5,19.9,-131.7,44.0,172,3.8
17,FB_20220311212245_00146,2022-03-11 21:22:45,2022,3,11,70.0,-9.1,33.3,175,3.8
18,FB_20131012160645_00456,2013-10-12 16:06:45,2013,10,12,-19.1,-25.0,22.2,160,3.5
19,FB_20241220175201_00048,2024-12-20 17:52:01,2024,12,20,14.3,-98.1,32.6,154.2,3.4
20,FB_20220111033313_00155,2022-01-11 03:33:13,2022,1,11,-58.4,-160.2,40.8,126,2.9
21,FB_20170311045121_00333,2017-03-11 04:51:21,2017,3,11,28.3,-60.2,28.0,127,2.9
22,FB_20180621011620_00292,2018-06-21 01:16:20,2018,6,21,52.8,38.1,27.2,124,2.8
23,FB_20130421062312_00471,2013-04-21 06:23:12,2013,4,21,-28.1,-64.6,40.7,107,2.5
24,FB_20250327160523_00034,2025-03-27 16:05:23,2025,3,27,14.3,-111.5,38.1,104.5,2.4
25,FB_20140508194237_00443,2014-05-08 19:42:37,2014,5,8,-36.9,87.3,35.4,105,2.4
26,FB_20180925141042_00281,2018-09-25 14:10:42,2018,9,25,-23.5,56.8,33.0,80.8,1.9
27,FB_20250313094651_00038,2025-03-13 09:46:51,2025,3,13,-7.1,75.9,38.0,75,1.8
28,FB_20220707014925_00133,2022-07-07 01:49:25,2022,7,7,-41.7,175.0,35,73.4,1.8
29,FB_20210705034622_00173,2021-07-05 03:46:22,2021,7,5,44.3,-164.2,43.4,75.4,1.8
30,FB_20190201181709_00269,2019-02-01 18:17:09,2019,2,1,22.5,-83.8,23.7,68.2,1.7
31,FB_20171026220534_00316,2017-10-26 22:05:34,2017,10,26,-21.3,177.6,42.5,71.7,1.7
32,FB_20141128114718_00422,2014-11-28 11:47:18,2014,11,28,-46.1,172.7,26.1,68.7,1.7
33,FB_20250819140848_00023,2025-08-19 14:08:48,2025,8,19,30.9,131.8,27.5,65.8,1.6
34,FB_20190521131233_00257,2019-05-21 13:12:33,2019,5,21,-38.8,137.5,31.5,65.4,1.6
35,FB_20240713031041_00063,2024-07-13 03:10:41,2024,7,13,-7.4,-41.0,32.0,59,1.5
36,FB_20140213064741_00448,2014-02-13 06:47:41,2014,2,13,13.3,-110.7,25.0,63,1.5
37,FB_20230621193912_00096,2023-06-21 19:39:12,2023,6,21,12.4,62.8,40.4,54.7,1.4
38,FB_20180725215523_00289,2018-07-25 21:55:23,2018,7,25,76.9,-69.0,43.3,54.4,1.4
39,FB_20160410145753_00364,2016-04-10 14:57:53,2016,4,10,22.0,149.0,35.2,56.1,1.4
40,FB_20220727044127_00128,2022-07-27 04:41:27,2022,7,27,-44.8,-2.9,38.1,53.3,1.3
41,FB_20140318110237_00445,2014-03-18 11:02:37,2014,3,18,0.0,-111.8,30.5,54,1.3
42,FB_20121002163838_00486,2012-10-02 16:38:38,2012,10,2,-8.1,-111.9,35.0,50.3,1.3
43,FB_20240618135119_00067,2024-06-18 13:51:19,2024,6,18,44.3,173.2,44.3,49.1,1.2
44,FB_20180419133939_00300,2018-04-19 13:39:39,2018,4,19,-22.2,72.6,31.5,48,1.2
45,FB_20170620134131_00328,2017-06-20 13:41:31,2017,6,20,-54.2,133.0,33.3,46.7,1.2
46,FB_20160516100941_00359,2016-05-16 10:09:41,2016,5,16,3.2,6.6,41.7,48.8,1.2
47,FB_20260530180623_00001,2026-05-30 18:06:23,2026,5,30,42.0,-70.5,32.0,42.1,1.1
48,FB_20230311082128_00105,2023-03-11 08:21:28,2023,3,11,-74.7,79.5,32.0,44.5,1.1
49,FB_20201023205138_00196,2020-10-23 20:51:38,2020,10,23,30.0,-71.9,48.0,42.7,1.1
50,FB_20181120173027_00274,2018-11-20 17:30:27,2018,11,20,25.3,-6.7,27.4,42.2,1.1
