year,fireball_event_count,fireball_total_energy_kt,close_approach_count,closest_approach_distance_au,fastest_approach_velocity_km_s,activity_score,activity_score_note
2000,0,0.0,154,0.001795695641,29.198549,23.935,0-100 relative score inside current fetched dataset; not a planetary danger score
2001,0,0.0,168,0.000803236221,25.860357,33.326,0-100 relative score inside current fetched dataset; not a planetary danger score
2002,0,0.0,206,0.000786724919,30.588399,41.13,0-100 relative score inside current fetched dataset; not a planetary danger score
2003,0,0.0,197,0.000563056369,27.003597,39.506,0-100 relative score inside current fetched dataset; not a planetary danger score
2004,0,0.0,259,8.6318969e-05,32.187983,55.0,0-100 relative score inside current fetched dataset; not a planetary danger score
2005,0,0.0,16,0.001755327691,17.022912,1.708,0-100 relative score inside current fetched dataset; not a planetary danger score
2012,23,8.68,0,,,10.685,0-100 relative score inside current fetched dataset; not a planetary danger score
2013,25,468.712,0,,,36.111,0-100 relative score inside current fetched dataset; not a planetary danger score
2014,34,21.833,0,,,16.276,0-100 relative score inside current fetched dataset; not a planetary danger score
2015,45,16.093,0,,,20.858,0-100 relative score inside current fetched dataset; not a planetary danger score
2016,33,26.423,0,,,16.076,0-100 relative score inside current fetched dataset; not a planetary danger score
2017,30,20.63,0,,,14.434,0-100 relative score inside current fetched dataset; not a planetary danger score
2018,39,66.027,0,,,20.855,0-100 relative score inside current fetched dataset; not a planetary danger score
2019,42,20.877,0,,,19.78,0-100 relative score inside current fetched dataset; not a planetary danger score
2020,41,21.319,0,,,19.359,0-100 relative score inside current fetched dataset; not a planetary danger score
2021,32,7.581,0,,,14.627,0-100 relative score inside current fetched dataset; not a planetary danger score
2022,42,26.296,0,,,20.069,0-100 relative score inside current fetched dataset; not a planetary danger score
2023,36,26.382,0,,,17.407,0-100 relative score inside current fetched dataset; not a planetary danger score
2024,32,15.675,0,,,15.058,0-100 relative score inside current fetched dataset; not a planetary danger score
2025,32,12.133,0,,,14.869,0-100 relative score inside current fetched dataset; not a planetary danger score
2026,14,3.059,0,,,6.385,0-100 relative score inside current fetched dataset; not a planetary danger score
